latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.744116,-0.864258,50.0,0,GMT,GMT

time,wind_speed_10m (m/s),wind_direction_10m (deg),temperature_2m (C),surface_pressure (hPa),relative_humidity_2m (percent),shortwave_radiation (W/m**2),direct_normal_irradiance (W/m**2),diffuse_radiation (W/m**2),dew_point_2m (C),snow_depth (m),rain (mm),albedo (percent)
2012-01-04 01:00:00,6.880259342748559,287.7972121186914,6.983571937517127,1013.25,70.0,0.0,0.0,0.0,4.983571937517127,0.0,0.0,20.0
2012-01-04 02:00:00,6.261258595578908,290.28889696532667,7.032491790042286,1013.25,70.0,0.0,0.0,0.0,5.032491790042286,0.0,0.0,20.0
2012-01-04 03:00:00,5.84968623677872,294.29321945718425,6.8842625899042105,1013.25,70.0,0.0,0.0,0.0,4.8842625899042105,0.0,0.0,20.0
2012-01-04 04:00:00,5.734331161683476,297.25568072994133,6.689613509503033,1013.25,70.0,0.0,0.0,0.0,4.689613509503033,0.0,0.0,20.0
2012-01-04 05:00:00,5.358741397051365,297.03116569173085,6.513546937215722,1013.25,70.0,0.0,0.0,0.0,4.513546937215722,0.0,0.0,20.0
2012-01-04 06:00:00,4.517546704427235,294.15358442175864,6.31028552451761,1013.25,70.0,0.0,0.0,0.0,4.31028552451761,0.0,0.0,20.0
2012-01-04 07:00:00,4.0135572209060095,290.18633817108184,6.128092252330191,1013.25,70.0,0.0,0.0,0.0,4.128092252330191,0.0,0.0,20.0
2012-01-04 08:00:00,3.540400943820865,282.12400923909473,5.772850772658899,1013.25,70.0,0.0,0.0,0.0,3.7728507726588987,0.0,0.0,20.0
2012-01-04 09:00:00,3.4193510815240664,274.0833065052024,6.462377576290919,1013.25,70.0,30.69361987810161,0.0,30.69361987810161,4.462377576290919,0.0,0.0,20.0
2012-01-04 10:00:00,3.90771884362644,268.7074936182464,7.520674125656797,1013.25,70.0,122.99921302971596,160.2478526808206,86.99961925759683,5.520674125656797,0.0,0.0,20.0
2012-01-04 11:00:00,6.439839464681386,275.36520282858555,8.071576885768536,1013.25,70.0,150.67389117831698,109.37439364890253,118.88814299315013,6.071576885768536,0.0,0.0,20.0
2012-01-04 12:00:00,6.13548382597443,269.85462723777977,8.341702341489508,1013.25,70.0,181.74691755478605,160.1928749490903,130.968451501131,6.341702341489508,0.0,0.0,20.0
2012-01-04 13:00:00,7.193055293438049,265.06209560611313,8.663300728541913,1013.25,70.0,233.5932141632195,472.481861345764,90.92179804817954,6.663300728541913,0.0,0.0,20.0
2012-01-04 14:00:00,4.790803574874783,256.7082688748342,8.510103086918718,1013.25,70.0,148.4625433783681,221.8675556184808,93.7558934316383,6.510103086918718,0.0,0.0,20.0
