hour,wind_electricity_kW,wind_electricity_year24_degraded_kW,solar_electricity_kW,solar_electricity_year24_degraded_kW,battery_net_power_kW,battery_electricity_out_kW,battery_soc_fraction,curtailment_kW
101,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
102,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
103,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
104,220293.93459035727,,-0.0,,20000.0,-0.0,1.0,200293.93459035727
105,220293.93459035727,,-0.0,,20000.0,-0.0,1.0,200293.93459035727
106,220293.93459035727,,752.4517087957138,,20000.0,-0.0,1.0,201046.38629915297
107,220293.93459035727,,1497.067657975738,,20000.0,-0.0,1.0,201791.002248333
108,0.0,,3951.9712552097867,,20000.0,4093.884883875054,0.7953057558062473,0.0
109,0.0,,10279.48052472772,,20000.0,2479.7243559368053,0.671319538009407,0.0
110,220293.93459035727,,41790.41546369238,,20000.0,-4900.0,0.916319538009407,222084.35005404963
111,220293.93459035727,,88899.97573924015,,20000.0,-1673.6092398118597,1.0,282362.8522079164
112,220293.93459035727,,4413.692027201669,,20000.0,-0.0,1.0,204707.62661755894
113,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
114,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
115,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
116,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
117,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
118,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
119,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
120,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
121,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
122,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
123,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
124,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
125,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
126,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
127,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
128,219956.6880387747,,-0.0,,20000.0,-0.0,1.0,199956.6880387747
129,172948.54621891605,,4402.795892002306,,20000.0,-0.0,1.0,157351.34211091834
130,104184.66286019918,,54135.38618581028,,20000.0,-0.0,1.0,138320.04904600946
131,102142.39483804189,,95428.41616971111,,20000.0,-0.0,1.0,177570.81100775301
132,89570.64458037127,,139811.60775132407,,20000.0,-0.0,1.0,209382.25233169534
133,111618.65842086625,,103918.46128557104,,20000.0,-0.0,1.0,195537.11970643728
134,162256.83966161,,108464.76465176338,,20000.0,-0.0,1.0,250721.6043133734
135,128782.34867495178,,67803.58810003461,,20000.0,-0.0,1.0,176585.9367749864
136,90848.67007390427,,3491.1287812091996,,20000.0,-0.0,1.0,74339.79885511348
137,98201.882576834,,0.0,,20000.0,-0.0,1.0,78201.882576834
138,109591.78909346208,,0.0,,20000.0,-0.0,1.0,89591.78909346208
139,141517.92973606082,,0.0,,20000.0,-0.0,1.0,121517.92973606082
140,177987.2282123434,,0.0,,20000.0,-0.0,1.0,157987.2282123434
