hour,wind_power_undegraded_mw,wind_power_year24_degraded_mw,solar_power_undegraded_mw,solar_power_year24_degraded_mw,battery_power_mw,curtailment_power_mw
6119,54.242998558200256,33.71908399554281,0.0,0.0,0.0,0.0
6120,40.387160856859865,24.16228115155569,0.0,0.0,0.0,0.0
6121,41.56656718820175,24.962601251634794,0.0,0.0,0.0,0.0
6122,56.65270497349376,35.38781703876315,0.0,0.0,0.0,0.0
6123,48.0962597532139,29.461341792970344,0.0,0.0,0.0,0.0
6124,70.52141378795795,45.16922429319864,0.0,0.0,0.0,0.0
6125,111.4637982130038,74.68368308806765,0.0,0.0,0.0,0.0
6126,84.95838820819861,55.48909026708702,0.0,0.0,0.0,0.0
6127,64.41660132844413,40.861655228634596,2.4407224722337815,1.7649619492594066,0.0,0.0
6128,39.87607700791699,23.8148433968072,19.641043933729712,14.203023316590922,19.7,0.0
6129,32.68045436868506,18.9316003720473,33.115920654639936,23.947068259518975,0.0,0.0
6130,26.0428510016805,14.475043657242292,46.2215170133264,33.42404441586338,0.0,0.0
6131,40.0445425217556,23.92894603438783,56.174159574521966,40.62100593998551,0.0,0.0
6132,74.65452129769842,48.10256175915613,67.80059000151067,49.02830164484241,0.0,0.0
6133,73.2465699148441,47.09323506907839,70.81322559695148,51.20672955457104,0.0,0.0
6134,113.70213596691974,76.31123314838923,91.11512732020832,65.8874097502956,0.0,0.0
6135,80.29375971796478,52.14432256876587,115.3103840522583,83.38341011510644,0.0,0.0
6136,70.92085187084814,45.449634702903694,60.45571605661218,43.71675211771063,0.0,0.0
6137,98.04868789036846,64.93248422831148,16.605844708312222,12.00800272322051,0.0,0.0
6138,112.93286333275779,75.74908458816304,2.291738851692625,1.657197306253719,19.7,0.0
6139,110.7930907766131,74.19388190000777,0.0,0.0,1.0745454545454565,0.0
6140,136.68918931678894,93.24679657124163,0.0,0.0,1.074545454545456,0.0
6141,184.73064873929482,129.845601385958,0.0,0.0,1.0745454545454556,0.0
6142,159.36927333724847,110.26665165264762,0.0,0.0,1.074545454545456,0.0
6143,150.27205111291198,103.43125058610175,0.0,0.0,1.0745454545454556,0.0
6144,209.53551035996594,149.9232147417717,0.0,0.0,1.0745454545454551,0.0
6145,230.8415199787193,168.27103776040866,0.0,0.0,1.0745454545454551,0.0
6146,209.37138393658563,149.78644287148418,0.0,0.0,1.0745454545454551,0.0
6147,230.59711945610687,168.0452675092792,0.0,0.0,1.074545454545456,0.0
6148,221.92988602673208,160.2091194551628,0.0,0.0,1.074545454545456,0.0
6149,169.082746978965,117.6614327506992,0.0,0.0,1.0745454545454578,0.0
6150,134.21726438199275,91.42353268724017,0.0,0.0,19.7,0.0
6151,112.0344029677631,75.09392864823471,7.125171716794346,5.1522288170864075,0.0,0.0
6152,147.551606840714,101.3853317824402,20.172633479794786,14.586855832568048,-4.06091370558376,0.0
6153,71.00742813284677,45.50871385921174,33.47376328231234,24.204879184741518,-4.06091370558376,0.0
6154,54.010121351708456,33.55447840150974,54.93268741788916,39.72176251818592,-4.06091370558376,0.0
6155,39.602186526359034,23.62697930718207,65.87684058934693,47.63538863963521,-4.060913705583759,0.0
6156,27.50973448113375,15.456970938919788,88.87385017607303,64.26436655440112,-4.060913705583758,0.0
6157,22.362723326773278,12.0044956382962,119.00672573998156,86.05320072711365,-4.060913705583758,0.0
6158,27.009855359633676,15.121769829957469,150.0,108.46411244292239,-4.060913705583758,0.0
6159,33.058425819533575,19.18618016813429,150.0,108.46393407534248,-4.060913705583758,0.0
6160,34.65794151111902,20.27152250539004,150.0,108.46375570776257,10.506666666666673,0.0
6161,26.979956082295242,15.101562431953173,131.07579776931408,94.77966619185425,10.506666666666673,0.0
6162,24.510343389814928,13.44603874593632,10.14175675529605,7.333396061551763,10.506666666666673,0.0
6163,29.844379263962416,17.021572526880973,0.0,0.0,0.0,0.0
6164,46.19396889178774,28.14035401072156,0.0,0.0,0.0,0.0
6165,59.43996520901485,37.346536891803765,0.0,0.0,0.0,0.0
6166,49.06969894489246,30.1318036257349,0.0,0.0,0.0,0.0
6167,57.44627357587163,35.939802843610366,0.0,0.0,0.0,0.0
6168,90.0229220158256,59.11333961113724,0.0,0.0,0.0,0.0
6169,132.5554930768129,90.19545957436497,0.0,0.0,0.0,0.0
6170,159.86803237821817,110.63502356205743,0.0,0.0,0.0,0.0
6171,178.9721614497558,125.35504796633184,0.0,0.0,0.0,0.0
6172,175.01076076074872,122.27088026984882,0.0,0.0,0.0,0.0
6173,177.76614582887922,124.41567981219924,0.0,0.0,0.0,0.0
6174,178.67737387410392,125.12481544363527,0.0,0.0,0.0,0.0
6175,210.36578393396334,150.60376212921085,2.1085889629468086,1.5246655773766127,-6.645131518227967,0.0
6176,168.29602339431295,117.0425616080953,7.969518540938809,5.762541120487389,-6.645131518227967,0.0
6177,184.092842283195,129.33994583288614,26.556672346262737,19.202372635578193,-6.645131518227968,0.0
6178,272.5591840476491,210.78671838940272,38.85367908167558,28.093941413346094,-6.645131518227968,4.767731611096737
6179,259.5215190516936,196.20844726787678,40.82809881798468,29.521537136212597,-6.645131518227968,0.0
6180,269.7343187004255,207.18681038293687,52.57732119581284,38.01697440106943,-6.645131518227968,15.66650837801035
6181,266.246064386229,203.4366822845045,32.76546920895428,23.69162078455892,-6.645131518227966,0.0
6182,290.01558246448684,236.34796423022868,35.25402056692774,25.490967564349432,-6.645131518227965,18.624471513186627
6183,295.58257559146824,248.08312600889587,28.372371344758633,20.515050386866154,-6.645131518227966,17.309815417998895
6184,297.1810948444273,252.26221616284477,21.404536246835878,15.476831743378998,-6.645131518227963,11.940499573035261
6185,291.87332929680224,239.63207260401254,64.97504203245742,46.980982333900144,-6.645131518227963,50.20323981103167
6186,242.608363126925,179.10104650641233,5.2925019114735266,3.8268006008615543,5.455384615384617,0.0
6187,204.86811664457971,146.03769721431752,0.0,0.0,5.455384615384617,0.0
6188,151.47415026544144,104.324641253294,0.0,0.0,5.455384615384616,0.0
6189,114.21617960619281,76.68043965847525,0.0,0.0,5.455384615384616,0.0
6190,93.65483189012676,61.73152114700869,0.0,0.0,5.455384615384616,0.0
6191,66.46308566255124,42.29839557586673,0.0,0.0,5.455384615384617,0.0
6192,56.19639958079145,35.0649350253869,0.0,0.0,5.455384615384617,0.0
6193,51.520704119814525,31.826815692000142,0.0,0.0,5.455384615384617,0.0
6194,52.92014010721388,32.79586283766378,0.0,0.0,5.4553846153846175,0.0
6195,43.06770932468744,25.97549598970436,0.0,0.0,5.455384615384618,0.0
6196,28.21261300261445,15.925870974493494,0.0,0.0,5.45538461538462,0.0
6197,19.52397370104899,10.058813676100312,0.0,0.0,5.455384615384621,0.0
6198,12.888045007058663,5.715503615536106,0.0,0.0,5.455384615384622,0.0
6199,3.6357694626233936,1.3899784199980953,6.678299442171327,4.828713218311273,-6.645131518227967,0.0
6200,0.0,0.0,19.609343281637575,14.178420749633354,-6.645131518227967,0.0
6201,0.0,0.0,32.0032787655202,23.13974511752082,-6.645131518227967,0.0
6202,0.0,0.0,53.87037672958757,38.950532099177536,-6.645131518227967,0.0
6203,0.0,0.0,69.68171936639591,50.38271027592534,-6.645131518227967,0.0
6204,0.0,0.0,88.99368466206407,64.34593889893813,-6.645131518227967,0.0
6205,0.0,0.0,107.98270578386132,78.07562062118876,-6.645131518227966,0.0
6206,0.0,0.0,125.6159186320488,90.82495762914745,-6.645131518227965,0.0
6207,0.0,0.0,137.53431544947122,99.44223602789832,-6.645131518227966,0.0
6208,0.0,0.0,138.09266155111587,99.8457760488697,-6.645131518227963,0.0
6209,0.0,0.0,106.1605908010729,76.75765694442558,-6.645131518227963,0.0
6210,7.079307121062081,2.7062431259681516,5.723840385890731,4.138521186317379,19.7,0.0
6211,14.660786457927102,6.761471732530646,0.0,0.0,19.7,0.0
6212,13.094388138898893,5.836837768376292,0.0,0.0,19.7,0.0
6213,8.069100732367655,3.0845475330037915,0.0,0.0,11.82000000000002,0.0
6214,3.0018529937225753,1.1474995077697898,0.0,0.0,0.0,0.0
6215,0.9208023982154557,0.35198672700983213,0.0,0.0,0.0,0.0
6216,0.0,0.0,0.0,0.0,0.0,0.0
6217,0.0,0.0,0.0,0.0,0.0,0.0
6218,0.0,0.0,0.0,0.0,0.0,0.0
6219,0.0,0.0,0.0,0.0,0.0,0.0
6220,0.0,0.0,0.0,0.0,0.0,0.0
6221,0.0,0.0,0.0,0.0,0.0,0.0
6222,0.0,0.0,0.0,0.0,0.0,0.0
6223,0.0,0.0,6.8911281525787915,4.9824013586636795,-6.645131518227967,0.0
6224,0.0,0.0,19.22889285661018,13.902789529471901,-6.645131518227967,0.0
6225,0.0,0.0,31.694964205607977,22.915915911662665,-6.645131518227967,0.0
6226,0.0,0.0,63.024663266010364,45.56766491539265,-6.645131518227967,0.0
6227,0.0,0.0,95.9216644693835,69.35251771982654,-6.645131518227967,0.0
6228,0.0,0.0,114.06375018689619,82.46932837785057,-6.645131518227967,0.0
6229,1.140733830883463,0.43601233064985445,109.6374569841334,79.26894001842912,-6.645131518227966,0.0
6230,2.9502994479736735,1.1276577399646042,133.7112299877765,96.67435134922454,-6.645131518227965,0.0
6231,5.916461532924135,2.2613615813663985,150.0,108.45109160958906,-6.645131518227966,0.0
6232,21.410070851844203,11.348647738237121,142.33724160110168,102.91069226658647,-6.645131518227963,0.0
6233,49.91623562205426,30.712137509282584,88.0639328415618,63.67065488399839,-6.645131518227963,0.0
6234,55.212973367385565,34.379847382157855,3.65689069307583,2.6439455383252777,19.7,0.0
6235,38.07848397547837,22.58728227346834,0.0,0.0,19.7,0.0
6236,42.40477484082857,25.522475969983425,0.0,0.0,1.1820000000000013,0.0
6237,44.83123301735498,27.190624638314354,0.0,0.0,1.1820000000000017,0.0
6238,19.476149674504654,10.024277150586563,0.0,0.0,1.1820000000000022,0.0
6239,16.89415346269395,8.256430046664255,0.0,0.0,1.1820000000000026,0.0
6240,27.05116734723059,15.14495303948367,0.0,0.0,1.1820000000000022,0.0
6241,25.503844733569814,14.107859144516055,0.0,0.0,1.1820000000000022,0.0
6242,19.373563140389045,9.953865501367945,0.0,0.0,1.1820000000000022,0.0
6243,18.00917036206573,9.019677425625932,0.0,0.0,1.1820000000000022,0.0
6244,20.078320137536203,10.436296067119292,0.0,0.0,1.182000000000004,0.0
6245,16.04891323264051,7.677491296859004,0.0,0.0,1.1820000000000057,0.0
6246,6.418842499646606,2.4531044473411328,0.0,0.0,19.7,0.0
6247,0.0,0.0,3.4528389365208088,2.4963619855025034,0.0,0.0
6248,0.0,0.0,15.106204589378834,10.921590480161978,-8.121827411167516,0.0
6249,0.0,0.0,24.85008690277864,17.966261780679936,-8.121827411167516,0.0
6250,0.0,0.0,32.569313643773775,23.547114938392824,-8.121827411167516,0.0
6251,0.0,0.0,41.68965655679378,30.14093360500134,-8.121827411167516,0.0
6252,0.0,0.0,48.41752466498181,35.005013630005244,-8.121827411167516,0.0
6253,0.0,0.0,58.227661797169546,42.0974999558693,-8.121827411167514,0.0
6254,2.6355767778819432,1.0071845310361873,48.513766808789526,35.07447961995454,-8.121827411167512,0.0
6255,2.834001204891711,1.0830042524625532,56.28062776988982,40.68969727181731,-8.121827411167509,0.0
6256,8.038672363056527,3.071929299845304,124.91280661786273,90.30915482566208,-8.121827411167509,0.0
6257,9.530552414355514,3.7320082593864816,70.62558154524893,51.06062589319158,0.0,0.0
6258,10.3813083575701,4.234082853516316,3.1324219959190245,2.264663328873186,19.7,0.0
6259,15.153568315840165,7.063964328271594,0.0,0.0,19.7,0.0
