surface_tilt_deg,surface_azimuth_deg,NPV_over_CAPEX,AEP,LCOE,Revenues,CAPEX
40.0,132.6315789473684,0.7297848021385192,1353.419332731496,36.09759733895633,45.42003933390608,456.1934548090319
40.0,151.57894736842104,0.7520118115660094,1371.6309720249683,35.68331867956991,45.9400299093317,456.1934548090319
40.0,170.52631578947367,0.77386940646058,1388.5867633706355,35.31422842140357,46.451378203114814,456.1934548090319
40.0,189.4736842105263,0.7920084407061196,1401.9982389403795,35.03521709952828,46.8757324953903,456.1934548090319
40.0,208.42105263157893,0.8040613487341219,1410.016605995687,34.87764709652503,47.15770468789235,456.1934548090319
40.0,227.36842105263156,0.8075247808420694,1410.9148140025297,34.87155487961257,47.238730075524195,456.1934548090319
40.0,246.3157894736842,0.8012387633225071,1403.9466177160614,35.029071857909116,47.09167161146064,456.1934548090319
40.0,265.2631578947368,0.7861085688184603,1390.014805498851,35.33367946615105,46.737707729269175,456.1934548090319
40.0,284.2105263157895,0.7633879654932074,1370.2262231979885,35.7717301137267,46.206169753561845,456.1934548090319
40.0,303.1578947368421,0.7352745798565384,1346.3796540640044,36.317359389459476,45.5484701371531,456.1934548090319
40.0,322.1052631578947,0.7070133699457724,1322.1628764455882,36.889895153847455,44.8806167527011,456.11073598780155
40.0,341.05263157894734,0.6838390789230611,1301.3665702060716,37.40273661386055,44.33856326888755,456.11073598780155
40.0,360.0,0.66594154441025,1285.6795037370741,37.802315306924946,43.919934672015465,456.11073598780155
50.0,0.0,0.654391993867043,1269.7804498934706,38.223835764133334,43.64978728747238,456.11073598780155
50.0,18.94736842105263,0.6460967431889197,1263.4880040183523,38.39438369968745,43.45575893403637,456.11073598780155
50.0,37.89473684210526,0.6498681818800128,1269.1245741403025,38.2378581737015,43.54397399440187,456.11073598780155
50.0,56.84210526315789,0.6584096072994485,1279.6059283838395,37.94936155452771,43.74376044745027,456.11073598780155
50.0,75.78947368421052,0.6702609266020021,1292.8223979425125,37.59353392806224,44.020966292040725,456.11073598780155
50.0,94.73684210526315,0.6853152902645402,1308.4441960034935,37.18696559080285,44.37309228639705,456.11073598780155
50.0,113.68421052631578,0.7032182545458009,1325.9908753267835,36.74718025359639,44.79184788715035,456.11073598780155
50.0,132.6315789473684,0.7241094978000954,1345.1634587777924,36.28566183655899,45.28050021209478,456.11073598780155
50.0,151.57894736842104,0.7479473076604435,1365.1735345808058,35.83089838909356,45.8449427258053,456.1934548090319
50.0,170.52631578947367,0.7718512506586379,1383.8649568181884,35.422070283389004,46.40416438426195,456.1934548090319
50.0,189.4736842105263,0.7920370296514659,1398.9053273660165,35.109354069307216,46.87640132050552,456.1934548090319
50.0,208.42105263157893,0.805906866929355,1408.1364005847395,34.928464096854434,47.20087973001522,456.1934548090319
50.0,227.36842105263156,0.8099903458559474,1409.2817685460066,34.92088418779872,47.29641082535687,456.1934548090319
50.0,246.3157894736842,0.8028887172739035,1401.3176901825298,35.102784819328654,47.13027151881261,456.1934548090319
50.0,265.2631578947368,0.7861480075613728,1385.7312660219768,35.44532009538393,46.73863038036571,456.1934548090319
50.0,284.2105263157895,0.7613286035362008,1363.9823668772194,35.928826098645764,46.157991935824974,456.1934548090319
50.0,303.1578947368421,0.7305855737397375,1337.7367428178864,36.53421570660038,45.43877301407392,456.1934548090319
50.0,322.1052631578947,0.699504280048456,1310.7481476377275,37.1836524528448,44.71164056540931,456.1934548090319
50.0,341.05263157894734,0.6738308472763066,1286.918962530455,37.77729322480922,44.104467786716384,456.11073598780155
50.0,360.0,0.6543892811195049,1269.7804498934706,38.22383193560434,43.64972383550949,456.11073598780155
60.0,0.0,0.6456192392424045,1258.0871933984902,38.54131561837291,43.444589976268055,456.11073598780155
60.0,18.94736842105263,0.6385485062827161,1253.3728735936252,38.67347224060018,43.27920345246207,456.11073598780155
60.0,37.89473684210526,0.643053888628997,1259.8111709241507,38.4923448308591,43.3845856708143,456.11073598780155
60.0,56.84210526315789,0.651103916450218,1269.787440452281,38.21267958347994,43.572878189494276,456.11073598780155
60.0,75.78947368421052,0.6624302837454054,1282.5055229762029,37.863443857772964,43.83780525221612,456.11073598780155
60.0,94.73684210526315,0.6771367001062175,1297.7802155348577,37.45714889852227,44.18179265683527,456.11073598780155
60.0,113.68421052631578,0.6950408966047066,1315.331729985556,37.00887284475674,44.60057707951197,456.11073598780155
60.0,132.6315789473684,0.7158110244315792,1334.6285673757923,36.54188786972237,45.093129286272124,456.1934548090319
60.0,151.57894736842104,0.740576405025333,1355.208805698569,36.06076480723292,45.67250387769391,456.1934548090319
60.0,170.52631578947367,0.7656403874741471,1374.8739666283973,35.624942599712085,46.25886412100662,456.1934548090319
60.0,189.4736842105263,0.7873105324916536,1391.0990003562708,35.283539728451245,46.76582711186552,456.1934548090319
60.0,208.42105263157893,0.8026633417681195,1401.493244180295,35.07909504450899,47.12499896339657,456.1934548090319
60.0,227.36842105263156,0.8074977771364716,1403.1321723208598,35.06362431688483,47.23809833635756,456.1934548090319
60.0,246.3157894736842,0.8000028441788193,1394.7899172785276,35.25765696661621,47.06275785638251,456.1934548090319
60.0,265.2631578947368,0.7823335374855067,1378.2449738340722,35.62454101964349,46.649392622305456,456.1934548090319
60.0,284.2105263157895,0.7564272088980956,1355.521012635371,36.1335052341342,46.04332608180757,456.1934548090319
60.0,303.1578947368421,0.7243822360218444,1328.305038322988,36.76691972740858,45.2936488056189,456.1934548090319
60.0,322.1052631578947,0.692551148425293,1300.4048194962425,37.44058242297561,44.54234113722804,456.11073598780155
60.0,341.05263157894734,0.6654028197915736,1275.5623182743245,38.07528847582108,43.90733374471706,456.11073598780155
60.0,360.0,0.645621276725866,1258.0871933984902,38.54131803268464,43.444637633605545,456.11073598780155
70.0,0.0,0.6392786892472367,1251.009432496908,38.73663682021326,43.29628264678788,456.11073598780155
70.0,18.94736842105263,0.6331857794238626,1247.030820416559,38.851002151935575,43.15376769377011,456.11073598780155
70.0,37.89473684210526,0.6371278288433055,1252.3680796518763,38.69926645263846,43.24597338925741,456.11073598780155
70.0,56.84210526315789,0.6442671046931373,1261.0998963311306,38.45040433025948,43.41296315142595,456.11073598780155
70.0,75.78947368421052,0.6546303038981447,1272.650802915943,38.12669960398193,43.6553614291995,456.11073598780155
70.0,94.73684210526315,0.6684822379453108,1286.8913102282388,37.73958188083742,43.97936224115374,456.11073598780155
70.0,113.68421052631578,0.6855061089149183,1303.3475554666554,37.30963151895897,44.37755559075932,456.11073598780155
70.0,132.6315789473684,0.7059863878924618,1321.945713435712,36.84477985818524,44.8565953403841,456.11073598780155
70.0,151.57894736842104,0.7307578968174963,1342.288050109644,36.358714607033086,45.43600822075978,456.11073598780155
70.0,170.52631578947367,0.7558119239863834,1362.0758606670183,35.917066076698525,46.02893177670161,456.1934548090319
70.0,189.4736842105263,0.7782965263550105,1378.862050019167,35.55645695171429,46.55494861949911,456.1934548090319
70.0,208.42105263157893,0.7949405320843079,1390.3497496155637,35.32508112569657,46.944327413115,456.1934548090319
70.0,227.36842105263156,0.8006753508704456,1392.9692323009028,35.29058552877768,47.07849083848688,456.1934548090319
70.0,246.3157894736842,0.7932023388255818,1384.7651994540474,35.48688899103918,46.90366318809836,456.1934548090319
70.0,265.2631578947368,0.7752037754012059,1368.0646790091575,35.86211577088251,46.482595145525785,456.1934548090319
70.0,284.2105263157895,0.7488929066634231,1345.1656454308018,36.38077012042318,45.86706457585829,456.1934548090319
70.0,303.1578947368421,0.7165662989991365,1318.0529548786226,37.01998658363218,45.11079858444151,456.1934548090319
70.0,322.1052631578947,0.6845876038176907,1290.7338779859792,37.69393001887186,44.36267184417953,456.1934548090319
70.0,341.05263157894734,0.6582111997383321,1267.097099584857,38.300623861099304,43.73911963623353,456.11073598780155
70.0,360.0,0.6392786892481777,1251.009432496908,38.736636820220724,43.29628264680988,456.11073598780155
80.0,0.0,0.63389832695401,1245.640981884193,38.88712830913251,43.1704343900984,456.11073598780155
80.0,18.94736842105263,0.6284158169586807,1241.8502846335844,38.997449939298754,43.042196868609686,456.11073598780155
80.0,37.89473684210526,0.6316454175131698,1245.946779579506,38.87991761959108,43.117738175576584,456.11073598780155
80.0,56.84210526315789,0.637721929523745,1253.1887966678423,38.67100232340949,43.25986957892952,456.11073598780155
80.0,75.78947368421052,0.6467921959055066,1263.1306014131576,38.38663204396773,43.47202577764699,456.11073598780155
80.0,94.73684210526315,0.6594019496437463,1275.860541418294,38.03279585575595,43.766971626784084,456.11073598780155
80.0,113.68421052631578,0.675134803595807,1290.7708462347223,37.63337595674022,44.13496770859244,456.11073598780155
80.0,132.6315789473684,0.6942201608250137,1307.6313857739792,37.20087798514865,44.58137982820289,456.11073598780155
80.0,151.57894736842104,0.7180563938633567,1326.5838571579002,36.737390722075546,45.13891633047445,456.11073598780155
80.0,170.52631578947367,0.7425891025884116,1345.59861628982,36.302358581822716,45.71959000358041,456.1934548090319
80.0,189.4736842105263,0.7651986574724363,1362.3811149527512,35.931644148249006,46.24853005251567,456.1934548090319
80.0,208.42105263157893,0.7828733935688889,1374.8250347480957,35.671499037154774,46.66202230496073,456.1934548090319
80.0,227.36842105263156,0.78968631784701,1378.756940641996,35.60762114789514,46.821407508231935,456.1934548090319
80.0,246.3157894736842,0.7829434378689862,1371.6775241173254,35.78372283787891,46.663660958871034,456.1934548090319
80.0,265.2631578947368,0.7651928140119033,1355.6629014337552,36.15047254769684,46.24839334746704,456.1934548090319
80.0,284.2105263157895,0.7390305537853706,1333.214952907593,36.667031215761014,45.63633940498729,456.1934548090319
80.0,303.1578947368421,0.7075331722875414,1307.0800902913054,37.28696441562101,44.89277508237661,456.11073598780155
80.0,322.1052631578947,0.6764994407471974,1281.2987442506687,37.93279492501937,44.166886972975874,456.11073598780155
80.0,341.05263157894734,0.6512153288837816,1259.7355633026955,38.49992384187768,43.57548415908766,456.11073598780155
80.0,360.0,0.6338983267059349,1245.640981884193,38.88712830913169,43.170434384295866,456.11073598780155
90.0,0.0,0.6288136294558289,1240.6496118282862,39.028920439635726,43.05150181993581,456.11073598780155
90.0,18.94736842105263,0.6239109220523001,1237.1458460556175,39.13186043851926,42.936826051620095,456.11073598780155
90.0,37.89473684210526,0.6264470673570481,1240.135908892806,39.0454363536047,42.996147236313455,456.11073598780155
90.0,56.84210526315789,0.6314462515897298,1245.896226056554,38.87742693341543,43.11307962604202,456.11073598780155
90.0,75.78947368421052,0.6390875933303604,1254.0900505656525,38.639001582933375,43.29181285708066,456.11073598780155
90.0,94.73684210526315,0.6499119058828858,1264.6855006152116,38.33725559885194,43.54499671169063,456.11073598780155
90.0,113.68421052631578,0.6637514559074049,1277.392557268789,37.987735876761285,43.86870785771234,456.11073598780155
90.0,132.6315789473684,0.6808238369773878,1291.9251411086382,37.60407412497045,44.268035872835114,456.11073598780155
90.0,151.57894736842104,0.7025511230661279,1308.5562116453,37.191555531395785,44.782920044511485,456.1934548090319
90.0,170.52631578947367,0.7259388745644602,1325.6483537175611,36.78506195408808,45.33006564226736,456.1934548090319
90.0,189.4736842105263,0.7479878622488306,1341.7801388178339,36.4158213649289,45.84589148158915,456.1934548090319
90.0,208.42105263157893,0.7665125180011348,1355.2306490844237,36.11986875480521,46.27926721014257,456.1934548090319
90.0,227.36842105263156,0.7747586840789059,1360.8715187862588,36.01159737568082,46.472182440498834,456.1934548090319
90.0,246.3157894736842,0.7691358156795555,1355.3850647409392,36.15442462034269,46.340638042496984,456.1934548090319
90.0,265.2631578947368,0.7523187922780208,1340.8296435037537,36.497157555117276,45.94721158069439,456.1934548090319
90.0,284.2105263157895,0.7270401742164239,1319.874078645866,36.989097133778046,45.35583003678066,456.1934548090319
90.0,303.1578947368421,0.6966712009992119,1295.4077553726836,37.58001193040257,44.63871037885874,456.11073598780155
90.0,322.1052631578947,0.6674543395053324,1271.8702413579895,38.18122242723067,43.955319394282995,456.11073598780155
90.0,341.05263157894734,0.6441953590995493,1252.8200076667722,38.69008193856375,43.41128500088774,456.11073598780155
90.0,360.0,0.6288137810069893,1240.6496118282862,39.02891612234445,43.05150536476203,456.11073598780155
