Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,564277,-,-,-,35.21,-101.94,-6,1102,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Dew Point
2012,3,9,20,30,0.0,0.0,0.0,5.14831534372254,5.813275691862259,111.01,900,-8
2012,3,9,21,30,0.0,0.0,0.0,4.363434841924759,5.255213738625969,122.8,900,-8
2012,3,9,22,30,0.0,0.0,0.0,3.8655065910486046,4.27319696190807,133.69,900,-8
2012,3,9,23,30,0.0,0.0,0.0,3.6290993671634975,4.017236601886964,142.69,900,-8
2012,3,10,0,30,0.0,0.0,0.0,3.642589261798148,3.2856885081835117,148.05,900,-7
2012,3,10,1,30,0.0,0.0,0.0,3.3201131342230084,2.954409392545813,147.83,900,-7
2012,3,10,2,30,0.0,0.0,0.0,3.223749758592179,2.4966195350358475,142.13,890,-7
2012,3,10,3,30,0.0,0.0,0.0,3.812245463397171,2.7564969123350807,132.93,890,-6
2012,3,10,4,30,0.0,0.0,0.0,4.224907877917966,1.8928942601089602,121.95,890,-5
2012,3,10,5,30,0.0,0.0,0.0,4.133462284811012,1.8438352502040516,110.1,890,-3
2012,3,10,6,30,0.0,0.0,0.0,3.8389975109015455,2.6833603151809484,97.9,890,-2
2012,3,10,7,30,6.058009250245018,6.058009250245018,0.0,3.8799172847530112,3.0079328636614946,85.66,890,-1
2012,3,10,8,30,70.17432775733653,70.17432775733653,0.0,3.377482621171068,5.141460272419351,73.69,890,-1
2012,3,10,9,30,155.02179421992614,144.84804501102852,26.782733270878712,2.552257947071469,6.926367305902204,62.33,890,-1
2012,3,10,10,30,270.60873545817924,218.1746715382096,106.42818344166604,2.4521850734486703,8.64106540893556,52.15,890,0
2012,3,10,11,30,329.14354051657534,261.2342470778871,119.54034969662337,2.190357351281244,9.539116338303245,44.07,890,0
2012,3,10,12,30,247.5591281292088,232.2662266716613,25.446571243904376,2.272226358952214,9.691096622673058,39.48,890,0
2012,3,10,13,30,290.8089570990195,256.1558970080705,58.82145217020373,2.750061782128311,10.151084402170682,39.65,890,0
2012,3,10,14,30,239.45198093262897,217.9468579175389,40.32205714242884,3.255504938469025,10.327416747428856,44.51,890,1
2012,3,10,15,30,250.56967066675,190.1804727722399,138.05424924370325,3.9856347077152185,10.332012276761304,52.76,890,1
2012,3,10,16,30,176.66525531143205,123.18202233972193,173.66628883637875,4.449698542189887,10.040859266629298,63.04,890,1
2012,3,10,17,30,79.24974640640825,54.96860742879425,157.89722000400587,4.33708645096096,9.486052020223497,74.45,890,1
2012,3,10,18,30,25.747965290907743,25.747965290907743,0.0,4.104706775076807,8.577028483358276,86.44,890,2
2012,3,10,19,30,0.0,0.0,0.0,3.935861481467625,7.519657299583685,98.66,890,2
2012,3,10,20,30,0.0,0.0,0.0,3.9199225840925127,7.06494575743227,110.83,890,2
2012,3,10,21,30,0.0,0.0,0.0,3.9438385365307136,6.506185309383454,122.6,890,2
2012,3,10,22,30,0.0,0.0,0.0,3.871662040756868,6.657767833973367,133.45,890,1
2012,3,10,23,30,0.0,0.0,0.0,4.195847603909924,6.583815062444216,142.39,890,1
2012,3,11,0,30,0.0,0.0,0.0,4.455229639324104,6.540594424184917,147.68,890,1
2012,3,11,1,30,0.0,0.0,0.0,4.768205410681875,6.472859375550115,147.43,880,1
2012,3,11,2,30,0.0,0.0,0.0,5.36861715303996,6.704552213817806,141.76,880,0
2012,3,11,3,30,0.0,0.0,0.0,5.650968119648291,6.787115331173709,132.6,880,0
2012,3,11,4,30,0.0,0.0,0.0,5.753136598549698,6.929752217189275,121.64,880,0
2012,3,11,5,30,0.0,0.0,0.0,5.591512579156655,7.41039579811104,109.82,880,0
2012,3,11,6,30,0.0,0.0,0.0,5.444260248649447,7.62490883030523,97.62,880,0
2012,3,11,7,30,3.2130572982762207,3.2130572982762207,0.0,5.131890720758555,7.783195149217931,85.38,880,0
2012,3,11,8,30,34.03678937651788,34.03678937651788,0.0,4.652590733989438,8.028818404632318,73.39,880,0
2012,3,11,9,30,85.70594343043521,85.70594343043521,0.0,3.458611287149884,8.561863291853228,62.01,880,0
2012,3,11,10,30,187.2683928127695,179.92298942416946,14.73572982956794,2.632271507317589,9.754607337277264,51.8,880,-1
2012,3,11,11,30,236.45847712095104,221.6868466641572,25.74559850925093,3.0868931329865217,10.4962903953749,43.69,880,-1
2012,3,11,12,30,222.3761558421116,213.65547753826772,14.3793469822819,3.84438161710697,10.904973912177297,39.08,880,-2
2012,3,11,13,30,181.3268055613359,178.92237872859712,4.045035428052254,4.461134560575067,10.918274680233026,39.27,880,-3
2012,3,11,14,30,187.21881347134328,182.41754122389972,8.9174344747957,4.523816261502777,11.354672846610072,44.19,880,-4
2012,3,11,15,30,182.9053405014816,170.56322333701647,27.904203346195963,4.645314479349151,11.765746047035691,52.5,880,-4
2012,3,11,16,30,155.88194483155246,126.4751834270946,94.0571546886018,5.08688864300617,11.686439823478565,62.82,880,-5
2012,3,11,17,30,72.96616301091306,57.85260523923657,95.4732769411596,5.256616465127546,10.931542127552689,74.26,880,-4
2012,3,11,18,30,17.732867696102335,17.732867696102335,0.0,5.692020867156431,10.1234370580529,86.26,880,-3
2012,3,11,19,30,0.0,0.0,0.0,6.18993780432301,9.263686437419722,98.49,880,-4
2012,3,11,20,30,0.0,0.0,0.0,5.713858737735443,8.477763125581077,110.65,880,-4
2012,3,11,21,30,0.0,0.0,0.0,5.26053363064229,8.371601313848998,122.39,880,-5
2012,3,11,22,30,0.0,0.0,0.0,5.28437829448974,8.176927076260029,133.2,880,-6
2012,3,11,23,30,0.0,0.0,0.0,5.09767650174357,7.937758227142126,142.08,880,-5
2012,3,12,0,30,0.0,0.0,0.0,5.189544380501991,7.365212908042508,147.3,880,-5
2012,3,12,1,30,0.0,0.0,0.0,5.557884894527844,7.29167006929265,147.03,880,-5
2012,3,12,2,30,0.0,0.0,0.0,5.695236154855304,7.162112121025871,141.39,880,-5
2012,3,12,3,30,0.0,0.0,0.0,5.459615856286115,6.925167937147876,132.27,880,-5
2012,3,12,4,30,0.0,0.0,0.0,4.964300999076903,6.974448530924178,121.34,880,-5
2012,3,12,5,30,0.0,0.0,0.0,5.043174105531626,6.588995400515728,109.53,880,-5
2012,3,12,6,30,0.0,0.0,0.0,5.370726385723395,7.021748627058344,97.34,880,-5
2012,3,12,7,30,4.400000095367432,4.400000095367432,0.0,5.411996659645935,7.050933220682964,85.10000000000001,880,-5
2012,3,12,8,30,38.639596037918345,38.639596037918345,0.0,4.984607821803114,7.419001059978314,73.10000000000001,890,-5
2012,3,12,9,30,86.23686361123507,86.23686361123507,0.0,4.474665824406334,7.723252551433404,61.690000000000005,890,-5
2012,3,12,10,30,156.91971772836953,156.50188812475926,0.8285727414467055,4.151618558534719,8.371746651800038,51.45,890,-6
2012,3,12,11,30,285.1433459914661,251.0077205226376,58.9145712005503,3.691013407621373,10.023476019733835,43.3,890,-7
2012,3,12,12,30,298.2761669166798,264.9617337660628,54.4400691219451,4.194981719379332,10.934076228114009,38.68,890,-8
2012,3,12,13,30,313.6089738425703,268.70170402642907,74.88476714268128,5.031675604419464,11.570483779318579,38.9,880,-8
2012,3,12,14,30,273.07783054033104,236.374685350854,67.53454260086112,5.328305939752374,11.878084271671355,43.87,880,-8
